date,close,volume,open,high,low
3/12/14,609.8614,1964277,604.3554,610.1393,598.1875
3/11/14,606.1688,1712649,613.1297,613.4075,604.4766
3/10/14,612.0184,1214528,614.0996,615.0821,608.24
3/7/14,613.645,1514730,619.7118,619.8054,611.9517
3/6/14,616.0798,1267959,617.4285,619.3809,615.5696
3/5/14,615.3978,1235272,613.7763,617.8326,611.9356
3/4/14,613.7056,1467631,613.7511,614.2562,610.9728
3/3/14,607.5327,2104616,609.5836,610.1342,602.2034
2/28/14,614.0794,2313176,616.4485,618.3933,609.3159
2/27/14,615.8777,1259795,615.4635,618.4161,614.7669
2/26/14,616.3627,1982121,618.2974,620.7625,613.1247
2/25/14,616.2768,1438445,614.2259,618.5499,611.4392
2/24/14,612.4932,1674113,608.8815,616.3576,608.7501
2/21/14,608.0884,1862284,610.1191,611.1597,607.606
2/20/14,608.25,1700843,607.76,609.6518,606.285
2/19/14,607.3559,2103507,608.8511,610.8313,604.912
2/18/14,611.6699,2108553,606.8861,612.6751,606.1739
2/14/14,607.5883,2193285,603.9563,608.3915,602.5368
2/13/14,606.1234,1835894,596.4498,606.1234,595.8992
2/12/14,599.4504,1724490,600.6173,601.1224,596.7681
2/11/14,601.2134,2050377,596.1569,602.0651,592.1359
2/10/14,592.4996,1944075,591.9288,597.2833,590.5245
2/7/14,594.7778,2685432,589.8223,595.0102,586.2515
2/6/14,585.9479,1945997,581.4874,586.0489,579.679
2/5/14,577.4816,2394325,577.5726,581.3056,569.8136
2/4/14,574.9357,2811838,574.8498,583.4424,574.3548
2/3/14,572.5464,4568875,595.6669,596.9408,571.8266
1/31/14,596.561,5565423,591.7015,599.3746,581.4874
1/30/14,573.5385,5076247,578.3909,582.1744,569.4246
1/29/14,559.155,2364192,565.3178,566.6463,555.3664
1/28/14,567.2828,2208315,560.8725,568.6664,560.6805
1/27/14,556.2807,4352585,568.8437,569.0457,546.7032
1/24/14,567.697,3918938,581.4268,582.7074,567.2777
1/23/14,586.0186,1948578,585.9681,587.2259,583.1241
1/22/14,588.5039,1571311,589.3071,589.9537,585.3922
1/21/14,587.8371,1979510,586.4379,587.9887,581.5733
1/17/14,581.1844,2700584,584.3769,586.2863,577.9868
1/16/14,584.0586,1683876,580.462,584.9219,579.9063
1/15/14,580.2195,1949525,582.427,583.4424,577.7797
1/14/14,580.6135,2481611,574.8296,581.4218,569.8489
1/13/14,567.2676,2418270,569.0306,579.3557,564.3328
1/10/14,570.9047,2141847,575.4005,575.4005,566.8989
1/9/14,570.935,2084366,577.6029,577.9969,568.5709
1/8/14,576.4865,2242287,578.8961,579.5628,572.4757
1/7/14,575.2881,2552245,568.288,575.7086,566.3483
1/6/14,564.4085,1769288,562.2313,565.1864,558.9125
1/3/14,558.1851,1664846,563.2366,564.2115,558.1498
1/2/14,562.2869,1821401,563.4689,564.6257,559.8319
12/31/13,566.1209,1357839,561.8424,566.2674,558.8216
12/30/13,560.4381,1234872,565.934,566.0149,560.2158
12/27/13,564.9541,1569747,565.7623,565.9037,562.196
12/26/13,564.4792,1337795,562.7365,565.2571,560.0491
12/24/13,561.6403,734170,563.2214,563.3578,559.7511
12/23/13,563.2871,1721503,559.6197,563.6406,558.2458
12/20/13,555.9726,3261557,549.7492,556.2504,549.5977
12/19/13,548.6985,1665669,545.9444,551.6132,545.0918
12/18/13,547.9559,2210252,541.4396,548.057,534.9687
12/17/13,540.4343,1535137,541.9296,545.9404,539.6867
12/16/13,542.0104,1602009,537.4742,542.8742,536.4689
12/13/13,535.8527,2162168,543.2328,543.6824,534.3852
12/12/13,540.4848,1595700,545.3393,547.0416,539.9999
12/11/13,544.1875,1706923,549.2946,551.2747,543.1166
12/10/13,547.9105,1853894,543.6117,551.7748,543.3591
12/9/13,544.6169,1482485,541.0051,546.7234,539.5049
12/6/13,540.4394,1428774,540.399,540.505,535.494
12/5/13,534.1099,1133663,534.0392,535.2818,530.9528
12/4/13,534.5342,1190968,531.0942,537.4641,530.4021
12/3/13,532.0489,1676144,530.882,537.1913,529.9071
12/2/13,532.6652,1373206,537.2267,538.6613,530.7861
11/29/13,535.2465,1192773,536.5447,538.7977,535.1758
11/27/13,537.0246,1122631,536.479,539.4948,535.4536
11/26/13,534.6504,2286072,529.6949,536.2113,526.8333
11/25/13,528.3462,1612058,523.9161,532.0136,522.8363
11/22/13,521.254,1254110,522.0268,523.416,519.9065
11/21/13,522.3552,1091805,518.7838,524.497,518.2787
11/20/13,516.4147,963706,520.274,521.9965,515.4297
11/19/13,517.8766,1128798,521.1681,522.6987,516.7885
11/18/13,521.0822,1759713,523.2038,529.7657,519.9165
11/15/13,522.0976,1276257,522.7593,524.3404,520.4563
11/14/13,522.9412,1166731,522.2794,525.2244,520.476
11/13/13,521.547,1578515,508.5546,521.7389,508.4283
11/12/13,511.0955,1218087,509.0345,514.0152,507.6706
11/11/13,510.4944,1112528,509.9488,513.1919,509.1861
11/8/13,513.2424,1290800,509.5649,514.4901,509.4386
11/7/13,509.1608,1679632,516.5662,517.233,509.0042
11/6/13,516.6369,914174,518.0766,518.7838,512.909
11/5/13,516.0156,1181373,515.4246,521.1327,513.9445
11/4/13,518.3322,1138656,521.057,521.4964,516.2732
11/1/13,518.804,1283286,521.2035,523.3301,517.824
10/31/13,520.5922,1616405,519.7587,526.1205,517.2532
10/30/13,520.5114,1324081,524.0525,524.0929,518.2787
10/29/13,523.4514,1604995,514.7932,523.805,511.9644
10/28/13,512.7221,1158320,512.8231,516.9804,511.7042
10/25/13,512.8231,2030479,519.7032,519.7032,510.5702
10/24/13,518.0514,2092054,521.2439,525.6386,517.6725
10/23/13,521.01,2663226,505.65,522.6986,505.4631
10/22/13,508.6809,2208639,507.6706,511.7118,503.0187
10/21/13,506.8119,3628191,510.9339,514.7427,504.9176
10/18/13,510.9076,11563920,493.3144,512.9545,492.0111
10/17/13,448.9698,4163147,451.0893,453.0645,447.422
10/16/13,453.6348,2004867,447.4927,453.7868,446.5531
10/15/13,445.5429,1591887,442.3857,447.3715,441.4966
10/14/13,442.5625,1243573,437.7889,442.6332,437.1473
10/11/13,440.4813,1407096,437.4706,441.234,437.1019
10/10/13,438.587,2255255,436.3644,438.885,434.5307
10/9/13,432.3333,2651123,432.5455,435.7632,425.827
10/8/13,431.227,1943503,437.112,437.4454,430.1966
10/7/13,437.3241,1293591,438.1879,441.4916,436.5008
10/4/13,440.6632,1358005,442.0018,443.2697,439.4761
10/3/13,442.5524,2117005,448.5687,451.6501,440.5369
10/2/13,448.5636,1495334,445.9066,449.2531,443.4263
10/1/13,448.0655,1682984,444.6538,448.402,444.5528
9/30/13,442.4615,1720996,439.0113,444.9518,438.6224
9/27/13,442.7039,1258822,441.9109,443.2748,440.1378
9/26/13,443.6031,1259907,443.6688,445.9167,442.0018
9/25/13,443.1283,1649029,447.8362,447.8362,442.3049
9/24/13,447.9827,1466985,447.811,449.6295,445.2347
9/23/13,447.811,1777442,452.6856,455.4336,447.1543
9/20/13,456.2014,4343880,453.8171,456.7167,452.4179
9/19/13,453.8171,1596560,457.6562,457.6562,452.3067
9/18/13,456.3075,1934434,447.7352,456.6358,446.0784
9/17/13,447.6139,1259422,448.2706,448.7682,445.0327
9/16/13,448.4474,1341111,452.7109,453.115,446.9876
9/13/13,449.1082,1325286,451.8521,452.4482,446.9724
9/12/13,451.1267,1095465,453.317,453.5696,449.584
9/11/13,452.7058,1610577,448.8414,453.0998,447.5988
9/10/13,448.9071,1287636,449.5891,450.5893,446.5481
9/9/13,448.5959,1222504,446.4117,449.4527,445.75
9/6/13,444.3154,1561560,445.7601,446.437,441.3653
9/5/13,444.3052,1291335,441.2441,444.4669,440.2893
9/4/13,440.3015,2040633,434.6014,441.2441,431.9848
9/3/13,434.6166,2047636,431.5756,437.5515,431.3685
8/30/13,427.8072,1862207,432.2828,433.4345,427.1303
8/29/13,432.1161,1370908,428.9034,434.6166,428.6609
8/28/13,428.6407,1329908,429.4995,432.106,428.2467
8/27/13,429.4489,1731654,434.2327,436.3088,428.3124
8/26/13,437.6525,1056184,439.4761,441.9513,437.4807
8/23/13,439.5821,1076493,443.4313,443.5172,439.3498
8/22/13,441.3502,869911,440.84,441.8755,439.6023
8/21/13,439.1376,1757333,439.8044,442.9661,437.7081
8/20/13,437.1625,1236259,438.6426,440.5419,436.2128
8/19/13,437.2787,1810825,433.2678,440.4864,433.1365
8/16/13,432.8627,1675087,435.0712,435.6572,432.6768
8/15/13,434.2529,1869174,436.6675,436.9099,433.4143
8/14/13,439.3801,2082097,443.7041,444.6437,438.0415
8/13/13,445.1589,1419756,447.9777,448.8212,442.608
8/12/13,447.3109,1377034,448.013,448.0635,445.361
8/9/13,449.7861,1323661,449.8618,452.3674,449.579
8/8/13,450.9226,1487625,452.3522,452.529,447.2023
8/7/13,449.9073,1379208,452.1249,453.8474,449.1193
8/6/13,452.8978,1504606,456.9995,459.5349,452.4734
8/5/13,457.1561,1309721,457.3531,457.4213,454.2263
8/2/13,457.9492,1713765,456.3681,458.1664,455.0446
8/1/13,456.7621,2133480,452.1047,456.9288,452.1047
7/31/13,448.4424,2072892,451.0893,452.8669,447.6493
7/30/13,450.0437,1755610,447.2856,452.4128,444.967
7/29/13,445.6742,1891862,447.0027,452.0138,444.9771
7/26/13,447.23,1777562,448.0585,449.5739,445.5378
7/25/13,448.4171,3000533,451.5339,453.0392,447.5988
7/24/13,456.0953,2063078,458.2978,459.8334,454.984
7/23/13,456.55,2045127,460.0355,461.1973,454.4132
